nombre	marca	tienda	pais	alergenos	additivos	puntuacion_nova	image_url	image_small_url	calorias	energia	grasa	grasas_saturadas	colesterol	carbohidratos	azucares	fibra	proteinas	sal	sodio	calcio	hierro	puntuacion
Queso para ensalada	Hacendado		España				https://images.openfoodfacts.org/images/products/848/000/020/2239/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/020/2239/front_es.3.200.jpg	47	197	0.1	0		4.8	4.8		4.2	0.1	0.04			-1
Mini croissants	Hacendado	Mercadona	España				https://images.openfoodfacts.org/images/products/848/000/039/9007/front_es.18.400.jpg	https://images.openfoodfacts.org/images/products/848/000/039/9007/front_es.18.200.jpg	75	314	7	1.3		2.5	1.5		0.6	0.85	0.34			4
Pan de molde sin corteza	Hacendado		España				https://images.openfoodfacts.org/images/products/328/277/020/3813/front_es.4.400.jpg	https://images.openfoodfacts.org/images/products/328/277/020/3813/front_es.4.200.jpg														
Chocolate blanco	Hacendado		España				https://images.openfoodfacts.org/images/products/848/000/065/0894/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/065/0894/front_es.3.200.jpg														
Untapan de atun	Hacendado	Mercadona	España			1	https://images.openfoodfacts.org/images/products/848/000/034/1389/front_es.21.400.jpg	https://images.openfoodfacts.org/images/products/848/000/034/1389/front_es.21.200.jpg														
L.casei natural azucarado	Hacendado	Mercadona	España	en:soybeans	en:e322,en:e401,en:e412,en:e471,en:e473	4	https://images.openfoodfacts.org/images/products/800/604/061/0027/front_es.23.400.jpg	https://images.openfoodfacts.org/images/products/800/604/061/0027/front_es.23.200.jpg	287	1197	19	14		25	24	2	3.1	0.06	0.024			16
Sal extrafina de mesa	Hacendado	Mercadona	España			1	https://images.openfoodfacts.org/images/products/848/000/011/4686/front_es.14.400.jpg	https://images.openfoodfacts.org/images/products/848/000/011/4686/front_es.14.200.jpg														
Yogur con frutas 0%	Hacendado		España				https://images.openfoodfacts.org/images/products/238/084/900/3362/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/238/084/900/3362/front_es.3.200.jpg	240	1004	18	3.9		2.1	0.5		17	1.2	0.48			
Yogur con frutos silvestres	Hacendado	Mercadona	España	en:milk		3	https://images.openfoodfacts.org/images/products/848/000/020/5124/front_es.34.400.jpg	https://images.openfoodfacts.org/images/products/848/000/020/5124/front_es.34.200.jpg	128	536	10.8	6.7		3.9	3.9		3.9	0.12	0.048	0.141		5
Arepas	HACENDADO	Mercadona	España			3	https://images.openfoodfacts.org/images/products/848/000/018/3101/front_es.25.400.jpg	https://images.openfoodfacts.org/images/products/848/000/018/3101/front_es.25.200.jpg	308	1289	26	4.1		0.6	0.5		18	0.89	0.356			5
